 0.315E+06 0.348E+02
 0.385E+06 0.362E+02
 0.471E+06 0.377E+02
 0.576E+06 0.391E+02
 0.704E+06 0.403E+02
 0.860E+06 0.415E+02
 0.105E+07 0.428E+02
 0.128E+07 0.443E+02
 0.157E+07 0.459E+02
 0.191E+07 0.476E+02
 0.234E+07 0.494E+02
 0.285E+07 0.513E+02
 0.349E+07 0.535E+02
 0.426E+07 0.557E+02
 0.520E+07 0.581E+02
 0.636E+07 0.606E+02
 0.777E+07 0.632E+02
 0.949E+07 0.658E+02
 0.116E+08 0.684E+02
 0.142E+08 0.711E+02
 0.173E+08 0.738E+02
 0.212E+08 0.765E+02
 0.259E+08 0.792E+02
 0.316E+08 0.819E+02
 0.386E+08 0.846E+02
 0.472E+08 0.874E+02
 0.577E+08 0.901E+02
 0.704E+08 0.928E+02
 0.861E+08 0.954E+02
 0.105E+09 0.978E+02
 0.129E+09 0.999E+02
 0.157E+09 0.102E+03
 0.192E+09 0.103E+03
 0.235E+09 0.104E+03
 0.287E+09 0.104E+03
 0.351E+09 0.103E+03
 0.430E+09 0.102E+03
 0.526E+09 0.994E+02
 0.642E+09 0.961E+02
 0.784E+09 0.912E+02
 0.944E+09 0.853E+02
 0.112E+10 0.792E+02
 0.131E+10 0.731E+02
 0.154E+10 0.671E+02
 0.180E+10 0.615E+02
 0.210E+10 0.563E+02
 0.248E+10 0.517E+02
 0.294E+10 0.476E+02
 0.352E+10 0.441E+02
 0.428E+10 0.412E+02
 0.522E+10 0.389E+02
 0.638E+10 0.371E+02
 0.779E+10 0.359E+02
 0.950E+10 0.349E+02
 0.116E+11 0.342E+02
 0.141E+11 0.336E+02
 0.173E+11 0.331E+02
 0.210E+11 0.329E+02
 0.257E+11 0.327E+02
 0.313E+11 0.327E+02
 0.382E+11 0.328E+02
 0.467E+11 0.330E+02
 0.570E+11 0.332E+02
 0.695E+11 0.335E+02
 0.849E+11 0.339E+02
 0.104E+12 0.344E+02
 0.127E+12 0.348E+02
 0.155E+12 0.353E+02
 0.189E+12 0.359E+02
 0.230E+12 0.365E+02
 0.281E+12 0.371E+02
 0.344E+12 0.377E+02
 0.420E+12 0.384E+02
 0.513E+12 0.391E+02
 0.626E+12 0.398E+02
 0.764E+12 0.405E+02
 0.934E+12 0.413E+02
 0.114E+13 0.421E+02
 0.139E+13 0.429E+02
 0.170E+13 0.437E+02
 0.208E+13 0.446E+02
 0.254E+13 0.454E+02
 0.310E+13 0.463E+02
 0.379E+13 0.472E+02
 0.462E+13 0.482E+02
 0.565E+13 0.491E+02
 0.688E+13 0.503E+02
 0.837E+13 0.519E+02
 0.102E+14 0.541E+02
 0.124E+14 0.567E+02
 0.151E+14 0.601E+02
 0.185E+14 0.646E+02
 0.225E+14 0.700E+02
 0.275E+14 0.763E+02
 0.336E+14 0.831E+02
 0.411E+14 0.904E+02
 0.502E+14 0.982E+02
 0.613E+14 0.106E+03
 0.748E+14 0.115E+03
 0.914E+14 0.124E+03
